player,season,PER_est,PER_can,PER_est_scaled,PER_diff,WS_est,WS_can,WS_est_scaled,WS_diff
Stephen Curry,2024-25,58.750000000000014,26.0,20.34565270792059,-5.654347292079411,31.710900000000006,11.0,11.04083670791222,0.04083670791222005
Stephen Curry,2023-24,58.00675675675676,27.0,20.088260896779552,-6.911739103220448,33.69032432432432,12.0,11.730016161681561,-0.26998383831843853
Stephen Curry,2022-23,73.03571428571426,28.0,25.292923883098833,-2.707076116901167,34.02295714285713,11.5,11.845829482436045,0.34582948243604505
Nikola Jokic,2024-25,105.46428571428575,31.0,36.5232294507535,5.523229450753497,65.17692857142858,20.0,22.692759444872305,2.692759444872305
Nikola Jokic,2023-24,96.17088607594935,30.0,33.30484168024274,3.3048416802427383,63.1727316455696,19.0,21.994954873292546,2.9949548732925457
Nikola Jokic,2022-23,95.0,30.0,32.89935331493541,2.8993533149354107,52.941599999999994,19.0,18.43276477979513,-0.5672352202048714
Luka Doncic,2024-25,74.05000000000001,29.0,25.6441801365365,-3.3558198634634984,31.385352000000005,18.0,10.927490120190413,-7.072509879809587
Luka Doncic,2023-24,92.14285714285711,31.0,31.90989907989975,0.9098990798997484,58.02788571428569,22.0,20.203665322549043,-1.7963346774509574
Luka Doncic,2022-23,83.86363636363639,30.0,29.042730557921463,-0.9572694420785375,48.084054545454556,17.0,16.741505113090703,-0.2584948869092969
