player,status,n_rows,rmse_advanced,rmse_baseline,delta_rmse
LeBron James,no_data,,,,
Stephen Curry,ok,13.0,21.50599473057928,21.798505461087643,0.29251073050836496
Luka Doncic,ok,10.0,10.711770621161904,10.506782699447076,-0.20498792171482805
Kevin Durant,ok,13.0,7.8182988993552165,7.269919514360258,-0.5483793849949583
Jayson Tatum,no_data,,,,
Nikola Jokic,ok,14.0,16.415753985401388,18.800680811756102,2.3849268263547145
Devin Booker,ok,15.0,4.131410915161106,3.893891318356831,-0.2375195968042747
Trae Young,ok,4.0,14.60889496644726,15.395831889189928,0.7869369227426688
Jalen Brunson,ok,12.0,3.986836524859849,4.062094220159101,0.07525769529925164
Ja Morant,ok,11.0,7.100890711053472,7.721874627528567,0.6209839164750948
