roster_name,manifest_match,resolved_player_id,mapping_method
Jacob Toppin,,1631210.0,alias
Jalen Johnson,,1630552.0,alias
Luke Kennard,,1628379.0,alias
Dyson Daniels,,1630700.0,alias
Nickeil Alexander-Walker,,1629638.0,alias
Trae Young,,1629027.0,alias
Onyeka Okongwu,,1630168.0,alias
Mouhamed Gueye,,1631243.0,alias
Caleb Houstan,,1631216.0,alias
Jayson Tatum,,1628369.0,alias
Anfernee Simons,,1629014.0,alias
Jaylen Brown,,1627759.0,alias
Josh Minott,,1631169.0,alias
Derrick White,,1628401.0,alias
Payton Pritchard,,1630202.0,alias
Ron Harper Jr.,,1631199.0,alias
Xavier Tillman,,1630214.0,alias
Jordan Walsh,,1641775.0,alias
Sam Hauser,,1630573.0,alias
Luka Garza,,1630568.0,alias
Neemias Queta,,1629674.0,alias
Chris Boucher,,1628449.0,alias
Max Strus,,1629622.0,alias
Lonzo Ball,,1628366.0,alias
Thomas Bryant,,1628418.0,alias
Evan Mobley,,1630596.0,alias
Sam Merrill,,1630241.0,alias
Chris Livingston,,1641753.0,alias
Craig Porter Jr.,,1641854.0,alias
Darius Garland,,1629636.0,alias
De'Andre Hunter,,1629631.0,alias
Larry Nance Jr.,,1626204.0,alias
Jarrett Allen,,1628386.0,alias
Dean Wade,,1629731.0,alias
Donovan Mitchell,,1628378.0,alias
Zion Williamson,,1629627.0,alias
Herbert Jones,,1630529.0,alias
Jordan Poole,,1629673.0,alias
Dejounte Murray,,1627749.0,alias
DeAndre Jordan,,201599.0,alias
Bryce McGowens,,1631121.0,alias
Jose Alvarado,,1630631.0,alias
Jordan Hawkins,,1641722.0,alias
Trey Murphy III,,1630530.0,alias
Saddiq Bey,,1630180.0,alias
Kevon Looney,,1626172.0,alias
Coby White,,1629632.0,alias
Josh Giddey,,1630581.0,alias
Jevon Carter,,1628975.0,alias
Dalen Terry,,1631207.0,alias
Ayo Dosunmu,,1630245.0,alias
Zach Collins,,1628380.0,alias
Kevin Huerter,,1628989.0,alias
Julian Phillips,,1641763.0,alias
Jalen Smith,,1630188.0,alias
Tre Jones,,1630200.0,alias
Isaac Okoro,,1630171.0,alias
Patrick Williams,,1630172.0,alias
Max Christie,,1631108.0,alias
Jaden Hardy,,1630702.0,alias
Dereck Lively II,,1641726.0,alias
Anthony Davis,,203076.0,alias
D'Angelo Russell,,1626156.0,alias
Dwight Powell,,203939.0,alias
Brandon Williams,,1585.0,alias
Kyrie Irving,,202681.0,alias
Naji Marshall,,1630230.0,alias
Caleb Martin,,1628997.0,alias
Daniel Gafford,,1629655.0,alias
P.J. Washington,,1629023.0,alias
Klay Thompson,,202691.0,alias
Christian Braun,,1631128.0,alias
Julian Strawther,,1631124.0,alias
Hunter Tyson,,1641816.0,alias
Peyton Watson,,1631212.0,alias
Tim Hardaway Jr.,,203501.0,alias
Bruce Brown,,1628971.0,alias
Zeke Nnaji,,1630192.0,alias
Cameron Johnson,,1629661.0,alias
Jalen Pickett,,1629618.0,alias
Jamal Murray,,1627750.0,alias
Aaron Gordon,,203932.0,alias
Gary Payton II,,1627780.0,alias
Jonathan Kuminga,,1630228.0,alias
Brandin Podziemski,,1641764.0,alias
Moses Moody,,1630541.0,alias
Buddy Hield,,1627741.0,alias
De'Anthony Melton,,1629001.0,alias
Jimmy Butler III,,202710.0,alias
Gui Santos,,1630611.0,alias
Al Horford,,201143.0,alias
Draymond Green,,203110.0,alias
Stephen Curry,,201939.0,alias
Trayce Jackson-Davis,,1631218.0,alias
Pat Spencer,,1630311.0,alias
Aaron Holiday,,1628988.0,alias
Kevon Harris,,1630284.0,alias
Amen Thompson,,1641708.0,alias
Dorian Finney-Smith,,1627827.0,alias
JD Davison,,1631120.0,alias
Fred VanVleet,,1627832.0,alias
Kevin Durant,,201142.0,alias
Jae'Sean Tate,,1630256.0,alias
Jabari Smith Jr.,,1631095.0,alias
Steven Adams,,203500.0,alias
Tari Eason,,1631106.0,alias
Josh Okogie,,1629006.0,alias
Alperen Sengun,,1630578.0,alias
Clint Capela,,203991.0,alias
Jeff Green,,201145.0,alias
Bradley Beal,,203078.0,alias
James Harden,,201935.0,alias
Kawhi Leonard,,202695.0,alias
Chris Paul,,101108.0,alias
Derrick Jones Jr.,,1627884.0,alias
Kris Dunn,,1627739.0,alias
Brook Lopez,,201572.0,alias
John Collins,,1628381.0,alias
Jordan Miller,,1641757.0,alias
Kobe Brown,,1641738.0,alias
Nicolas Batum,,201587.0,alias
Ivica Zubac,,1627826.0,alias
Jarred Vanderbilt,,1629020.0,alias
Deandre Ayton,,1629028.0,alias
Gabe Vincent,,1629216.0,alias
Christian Koloko,,1631132.0,alias
Jaxson Hayes,,1629637.0,alias
Jake LaRavia,,1631222.0,alias
Maxi Kleber,,1628467.0,alias
Austin Reaves,,1630559.0,alias
Nick Smith Jr.,,1641733.0,alias
LeBron James,,2544.0,alias
Rui Hachimura,,1629060.0,alias
Marcus Smart,,203935.0,alias
Simone Fontecchio,,1631323.0,alias
Terry Rozier,,1626179.0,alias
Jaime Jaquez Jr.,,1631170.0,alias
Dru Smith,,1630696.0,alias
Bam Adebayo,,1628389.0,alias
Tyler Herro,,1629639.0,alias
Andrew Wiggins,,203952.0,alias
Norman Powell,,1626181.0,alias
Davion Mitchell,,1630558.0,alias
Jericho Sims,,1630579.0,alias
Myles Turner,,1626167.0,alias
Gary Trent Jr.,,1629018.0,alias
Kevin Porter Jr.,,1629645.0,alias
Bobby Portis,,1626171.0,alias
Gary Harris,,203914.0,alias
Taurean Prince,,1627752.0,alias
Ryan Rollins,,1631157.0,alias
Amir Coffey,,1629599.0,alias
Kyle Kuzma,,1628398.0,alias
AJ Green,,1631260.0,alias
Giannis Antetokounmpo,,203507.0,alias
Pete Nance,,1631250.0,alias
Thanasis Antetokounmpo,,203648.0,alias
Andre Jackson Jr.,,1641748.0,alias
Cole Anthony,,1630175.0,alias
Donte DiVincenzo,,1628978.0,alias
Jaden McDaniels,,1630183.0,alias
Anthony Edwards,,1630162.0,alias
Joe Ingles,,204060.0,alias
Bones Hyland,,1630538.0,alias
Johnny Juzang,,1630548.0,alias
Mike Conley,,201144.0,alias
Naz Reid,,1629675.0,alias
Jaylen Clark,,1641740.0,alias
Rudy Gobert,,203497.0,alias
Julius Randle,,203944.0,alias
Leonard Miller,,1631159.0,alias
Ziaire Williams,,1630533.0,alias
Haywood Highsmith,,1629312.0,alias
E.J. Liddell,,1630604.0,alias
Tyrese Martin,,1631213.0,alias
Terance Mann,,1629611.0,alias
Michael Porter Jr.,,1629008.0,alias
Day'Ron Sharpe,,1630549.0,alias
Noah Clowney,,1641730.0,alias
Jalen Wilson,,1630592.0,alias
Cam Thomas,,1630560.0,alias
Nic Claxton,,1629651.0,alias
Jordan Clarkson,,203903.0,alias
Miles McBride,,1630540.0,alias
Josh Hart,,1628404.0,alias
OG Anunoby,,1628384.0,alias
Jalen Brunson,,1628973.0,alias
Tosan Evbuomwan,,1641787.0,alias
Mitchell Robinson,,1629011.0,alias
Mikal Bridges,,1628969.0,alias
Guerschon Yabusele,,1627824.0,alias
Karl-Anthony Towns,,1626157.0,alias
Landry Shamet,,1629013.0,alias
Trey Jemison III,,1641998.0,alias
Anthony Black,,1641710.0,alias
Jonathan Isaac,,1628371.0,alias
Tyus Jones,,1626145.0,alias
Desmond Bane,,1630217.0,alias
Jalen Suggs,,1630591.0,alias
Paolo Banchero,,1631094.0,alias
Orlando Robinson,,1631115.0,alias
Jamal Cain,,1631288.0,alias
Jett Howard,,1641724.0,alias
Colin Castleton,,1630658.0,alias
Moritz Wagner,,1629021.0,alias
Franz Wagner,,1630532.0,alias
Wendell Carter Jr.,,1628976.0,alias
Goga Bitadze,,1629048.0,alias
Tyrese Haliburton,,1630169.0,alias
Bennedict Mathurin,,1631097.0,alias
Obi Toppin,,1630167.0,alias
Andrew Nembhard,,1629614.0,alias
Jarace Walker,,1641716.0,alias
T.J. McConnell,,204456.0,alias
Tony Bradley,,1628396.0,alias
Garrison Mathews,,1629726.0,alias
Isaiah Jackson,,1630543.0,alias
Aaron Nesmith,,1630174.0,alias
Jeremiah Robinson-Earl,,1630526.0,alias
Ben Sheppard,,1641767.0,alias
Quenton Jackson,,1631245.0,alias
Jay Huff,,1630643.0,alias
Pascal Siakam,,1627783.0,alias
Tyrese Maxey,,1630178.0,alias
Andre Drummond,,203083.0,alias
Quentin Grimes,,1629656.0,alias
Kyle Lowry,,200768.0,alias
Paul George,,202331.0,alias
Kelly Oubre Jr.,,1626162.0,alias
Trendon Watford,,1630570.0,alias
Joel Embiid,,203954.0,alias
Eric Gordon,,201569.0,alias
Dominick Barlow,,1631230.0,alias
Jabari Walker,,1631133.0,alias
Royce O'Neale,,1626220.0,alias
Devin Booker,,1626164.0,alias
Nick Richards,,1630208.0,alias
Dillon Brooks,,1628415.0,alias
Jalen Green,,1630224.0,alias
Grayson Allen,,1628960.0,alias
Collin Gillespie,,1631221.0,alias
Mark Williams,,1631109.0,alias
Jamaree Bouyea,,1631123.0,alias
Isaiah Livers,,1630587.0,alias
Jordan Goodwin,,1630692.0,alias
Damian Lillard,,203081.0,alias
Scoot Henderson,,1630703.0,alias
Blake Wesley,,1631104.0,alias
Matisse Thybulle,,1629680.0,alias
Jrue Holiday,,201950.0,alias
Deni Avdija,,1630166.0,alias
Jerami Grant,,203924.0,alias
Shaedon Sharpe,,1631101.0,alias
Rayan Rupert,,1641712.0,alias
Kris Murray,,1631200.0,alias
Duop Reath,,1641871.0,alias
Toumani Camara,,1641739.0,alias
Robert Williams III,,1629057.0,alias
Sidy Cissoko,,1631321.0,alias
Malik Monk,,1628370.0,alias
Doug McDermott,,203926.0,alias
Zach LaVine,,203897.0,alias
Precious Achiuwa,,1630173.0,alias
DeMar DeRozan,,201942.0,alias
Domantas Sabonis,,1627734.0,alias
Keegan Murray,,1631099.0,alias
Russell Westbrook,,201566.0,alias
Drew Eubanks,,1629234.0,alias
Keon Ellis,,1631165.0,alias
Jordan McLaughlin,,1629162.0,alias
Victor Wembanyama,,1641705.0,alias
Keldon Johnson,,1629640.0,alias
De'Aaron Fox,,1628368.0,alias
Luke Kornet,,1628436.0,alias
Kelly Olynyk,,203482.0,alias
Jeremy Sochan,,1631110.0,alias
Bismack Biyombo,,202687.0,alias
Devin Vassell,,1630170.0,alias
Julian Champagnie,,1630577.0,alias
Harrison Barnes,,203084.0,alias
Lindy Waters III,,1630322.0,alias
Shai Gilgeous-Alexander,,1628983.0,alias
Luguentz Dort,,1629652.0,alias
Jaylin Williams,,1631119.0,alias
Chet Holmgren,,1631096.0,alias
Jalen Williams,,1631114.0,alias
Alex Caruso,,1627936.0,alias
Isaiah Joe,,1630198.0,alias
Ousmane Dieng,,1631172.0,alias
Aaron Wiggins,,1630598.0,alias
Cason Wallace,,1641717.0,alias
Kenrich Williams,,1629026.0,alias
Isaiah Hartenstein,,1628392.0,alias
A.J. Lawson,,1630639.0,alias
Gradey Dick,,1641711.0,alias
Brandon Ingram,,1627742.0,alias
Scottie Barnes,,1630567.0,alias
Immanuel Quickley,,1630193.0,alias
RJ Barrett,,1629628.0,alias
Garrett Temple,,202066.0,alias
Jakob Poeltl,,1627751.0,alias
Ochai Agbaji,,1630534.0,alias
Sandro Mamukelashvili,,1630572.0,alias
Taylor Hendricks,,1641707.0,alias
Kyle Anderson,,203937.0,alias
Keyonte George,,1641718.0,alias
Svi Mykhailiuk,,1629004.0,alias
Lauri Markkanen,,1628374.0,alias
Walker Kessler,,1631117.0,alias
Brice Sensabaugh,,1641729.0,alias
Georges Niang,,1627777.0,alias
Oscar Tshiebwe,,1631131.0,alias
Kevin Love,,201567.0,alias
Scotty Pippen Jr.,,1630590.0,alias
Ty Jerome,,1629660.0,alias
Kentavious Caldwell-Pope,,203484.0,alias
Vince Williams Jr.,,1631246.0,alias
Santi Aldama,,1630583.0,alias
Jaren Jackson Jr.,,1628991.0,alias
Ja Morant,,1629630.0,alias
Brandon Clarke,,1629634.0,alias
Olivier-Maxence Prosper,,1641765.0,alias
Jock Landale,,1629111.0,alias
GG Jackson,,1641713.0,alias
John Konchar,,1629723.0,alias
Bilal Coulibaly,,1641731.0,alias
Tristan Vukcevic,,1641774.0,alias
Cam Whitmore,,1641715.0,alias
CJ McCollum,,203468.0,alias
Malaki Branham,,1631103.0,alias
Justin Champagnie,,1630551.0,alias
Sharife Cooper,,1630536.0,alias
Anthony Gill,,1630264.0,alias
Khris Middleton,,203114.0,alias
Corey Kispert,,1630557.0,alias
Marvin Bagley III,,1628963.0,alias
Jalen Duren,,1631105.0,alias
Cade Cunningham,,1630595.0,alias
Paul Reed,,1630194.0,alias
Caris LeVert,,1627747.0,alias
Wendell Moore Jr.,,1631111.0,alias
Ausar Thompson,,1641709.0,alias
Tobias Harris,,202699.0,alias
Jaden Ivey,,1631093.0,alias
Marcus Sasser,,1631204.0,alias
Isaiah Stewart,,1630191.0,alias
Javonte Green,,1629750.0,alias
Duncan Robinson,,1629130.0,alias
Miles Bridges,,1628970.0,alias
LaMelo Ball,,1630163.0,alias
Grant Williams,,1629684.0,alias
Collin Sexton,,1629012.0,alias
Drew Peterson,,1641809.0,alias
Josh Green,,1630182.0,alias
Pat Connaughton,,1626192.0,alias
Mason Plumlee,,203486.0,alias
Tre Mann,,1630544.0,alias
Brandon Miller,,1641706.0,alias
